ResidentID,FirstName,LastName,PropertyID,UnitNumber,MoveInDate,MoveOutDate
R0001,Maria,Johnson,P007,180,2024-11-22,
R0002,Emily,Lee,P009,282,2024-05-20,
R0003,Emily,Garcia,P007,320,2024-08-02,
R0004,Sarah,Johnson,P005,226,2025-03-10,
R0005,Maria,Smith,P010,315,2025-12-23,
R0006,Michael,Garcia,P010,365,2024-11-13,
R0007,John,Garcia,P007,229,2024-02-01,2026-07-08 00:49:39.310344824
R0008,Maria,Smith,P010,377,2025-10-31,
R0009,Sarah,Johnson,P005,289,2024-10-11,
R0010,Emily,Smith,P003,150,2024-10-31,
R0011,Michael,Garcia,P007,277,2025-03-04,
R0012,Maria,Davis,P002,198,2025-04-21,
R0013,John,Davis,P009,70,2024-10-12,2026-07-08 00:49:39.310344824
R0014,John,Lee,P010,112,2024-05-23,
R0015,Alex,Smith,P010,4,2025-02-27,
R0016,Alex,Smith,P001,350,2024-01-19,2026-08-27 07:26:53.793103448
R0017,Robert,Lee,P006,331,2024-01-18,
R0018,Sarah,Lee,P007,318,2025-08-12,
R0019,Maria,Lee,P008,350,2025-01-05,
R0020,Maria,Garcia,P010,95,2024-06-23,
R0021,Robert,Smith,P009,152,2024-07-12,
R0022,Emily,Garcia,P002,311,2025-05-16,
R0023,Emily,Lee,P010,137,2024-04-22,
R0024,Robert,Smith,P002,247,2024-04-23,
R0025,Emily,Garcia,P005,387,2024-08-09,
R0026,Alex,Garcia,P005,243,2025-11-08,
R0027,Maria,Lee,P006,31,2025-10-05,
R0028,Robert,Smith,P003,40,2024-09-20,
R0029,Maria,Lee,P008,229,2024-02-24,
R0030,John,Smith,P001,36,2025-10-04,
R0031,Alex,Davis,P006,223,2025-04-02,
R0032,Michael,Johnson,P004,6,2024-06-10,
R0033,Alex,Johnson,P001,322,2025-01-14,
R0034,Robert,Johnson,P007,220,2024-03-27,
R0035,Michael,Lee,P009,75,2024-02-24,
R0036,John,Davis,P004,4,2025-04-20,
R0037,Robert,Smith,P004,335,2024-06-26,
R0038,Sarah,Garcia,P006,134,2025-01-25,
R0039,Maria,Smith,P003,118,2024-12-14,
R0040,John,Garcia,P006,369,2024-01-08,
R0041,Maria,Smith,P007,94,2024-11-08,
R0042,Emily,Davis,P010,62,2025-03-18,
R0043,Sarah,Garcia,P010,194,2024-11-23,
R0044,Sarah,Lee,P003,335,2024-02-23,
R0045,John,Smith,P007,203,2024-08-26,
R0046,Sarah,Smith,P003,392,2024-08-16,
R0047,Michael,Garcia,P002,26,2025-08-01,
R0048,Sarah,Lee,P010,173,2024-02-20,
R0049,Maria,Lee,P004,300,2025-08-31,
R0050,Maria,Davis,P008,133,2025-08-26,
R0051,Robert,Lee,P009,326,2024-09-20,
R0052,Maria,Lee,P007,118,2025-02-21,
R0053,Robert,Lee,P001,324,2024-04-05,
R0054,Maria,Johnson,P003,275,2024-03-28,
R0055,Michael,Davis,P009,212,2024-03-18,
R0056,Robert,Smith,P001,225,2024-10-14,
R0057,Alex,Garcia,P009,20,2024-04-29,
R0058,Emily,Smith,P008,113,2025-05-05,
R0059,John,Davis,P001,140,2025-03-27,
R0060,Maria,Garcia,P006,47,2025-05-14,
R0061,Sarah,Davis,P005,1,2024-06-13,
R0062,Maria,Lee,P006,90,2024-06-30,
R0063,Sarah,Garcia,P010,142,2025-04-13,
R0064,Emily,Lee,P005,320,2024-01-07,
R0065,Emily,Smith,P006,38,2024-11-25,
R0066,Emily,Smith,P005,293,2025-11-03,
R0067,Sarah,Garcia,P005,382,2024-05-30,
R0068,Maria,Garcia,P004,139,2024-03-25,
R0069,Emily,Davis,P003,356,2024-05-26,
R0070,Michael,Davis,P003,333,2025-09-15,
R0071,Robert,Lee,P004,259,2025-01-15,
R0072,Sarah,Garcia,P009,161,2025-07-01,
R0073,Sarah,Smith,P002,390,2024-10-11,
R0074,Maria,Davis,P009,178,2025-11-30,
R0075,Sarah,Davis,P001,10,2024-03-22,
R0076,Sarah,Smith,P001,261,2025-05-28,
R0077,Emily,Davis,P005,138,2025-12-09,
R0078,Maria,Lee,P006,172,2025-06-06,2025-11-23 19:02:04.137931032
R0079,Emily,Garcia,P006,386,2025-01-20,
R0080,Robert,Smith,P003,13,2025-12-07,
R0081,Robert,Garcia,P007,168,2025-04-15,
R0082,Emily,Davis,P009,130,2024-04-28,
R0083,Robert,Davis,P010,84,2025-01-30,
R0084,Maria,Smith,P008,321,2025-06-15,
R0085,John,Lee,P006,319,2024-09-17,
R0086,Emily,Johnson,P008,101,2024-09-12,
R0087,Michael,Smith,P005,329,2024-08-13,
R0088,Michael,Johnson,P008,273,2024-02-22,
R0089,Sarah,Johnson,P010,265,2025-05-14,2026-03-29 11:35:10.344827584
R0090,Robert,Lee,P004,399,2025-05-20,
